325,Federated States of Micronesia
326,Myanmar
327,Hirondelle
328,Kerstin-1
329,Evita VI
330,Ukraine-2
331,Russia-3
332,
333,Malawi
334,Belarus-1
335,United States-3
336,Bronia
337,Zambia
338,Denmark-1
339,Bluebottle
340,West Germany-1
341,Rhodesia
342,East Germany-2
343,Snap
344,Chinese Taipei-1
345,Sao Tome and Principe
346,Toronto Argonauts
347,England-1
348,Hungaria Evezos Egylet
349,Poland-1
350,Macedonia
351,Bohemia
352,Argonaut Rowing Club
353,"Life boat naval ship ""Spetsai""-1"
354,Australia-1
355,Tonga
356,Nigeria-1
357,Fortuna
358,Starlight III
359,Liechtenstein
360,Pan
361,Montenegro
362,Leander Club-2
363,"Lemzos Thorichton ""Psara""-3"
364,London City Police-1
365,Great Britain-3
366,Sabre
367,Firebird II
368,Berliner Ruderverein von 1876-2
369,Christian Brothers' College-1
370,Czechoslovakia-1
371,Czechoslovakia-2
372,"Passaic Turnverein, Passaic"
373,Primorka
374,Gambia
375,Racing Club de France
376,Grifo III
377,Grifo IV
378,Bingo
379,Damoiselle IV
380,Crabe II-12
381,Nina Claire-30
382,Crabe II-1
383,Crabe II-4
384,Nina Claire-2
385,Qu'Importe
386,Konstanz
387,Suzy-2
388,Mouchette-2
389,Dansk Idrts Forbund
390,Marmara
391,Moseley Wanderers
392,Chicago Athletic Association-2
393,Devon and Somerset Wanderers
394,Unified Team-2
395,Mistral Hojris
396,Cook Islands
397,Mauritius-2
398,Albania
399,Romania-1
400,Pampero
401,Israel-2
402,Symphony
403,Sjhxa
404,Faneca
405,Ciocca III
406,"Marinai della nave da guerra ""Varese"""
407,Lalage
408,Gallia II
409,Dinah V
410,Czech Republic-2
411,Nora
412,Monica
413,Kullan
414,Shoveller
415,Amateur Athletic Association
416,Circus
417,Aletta
418,Widgeon
419,Inca
420,Czech Republic-1
421,Relampago
422,Foxhunters Hurlingham
423,Thames Rowing Club
424,"Davenport Turngemeinde, Davenport"
425,"Norwegier Turnverein, Brooklyn"
426,Erna Signe
427,Sirene
428,Socit Nautique de Bayonne-2
429,Socit Nautique de Bayonne-1
430,Anitra
431,Snude
432,White Lady
433,Web II
434,Web III
435,Italy-3
436,Pistoja/Firenze
437,West Indies Federation
438,Posillipo III
439,Tritons Lillois-2
440,"Turnverein Vorwrts, Cleveland"
441,Club Nautique de Franais-1
442,Monaco-1
443,Boreas-2
444,Peri
445,"New York Turnverein, New York"
446,Tichiboo
447,Siames-Cat
448,Swaziland
449,India-1
450,Italia
451,Ausonia
452,Angelita
453,Burkina Faso
454,Nortazo
455,Tom Kyle
456,Tilly
457,Esterel-1
458,North Borneo
459,Wiking
460,Buraddoo
461,Heroine
462,Burundi
463,Chok
464,Atlanta
465,Germania II
466,Wannsee
467,Polyteknisk Roklub-1
468,Aruba
469,Buscape II
470,Nina
471,Norway-3
472,Kristiania Roklub-1
473,Kristiania Roklub
474,Ormsund Roklub-2
475,Chuckles
476,South Africa-2
477,Chinese Taipei
478,Winnipeg Shamrocks-1
479,Olle
480,United States-10
481,Camelia
482,Aschenbrodel
483,Whitini Star
484,Puerto Rico-1
485,Bera
486,Netherlands-2
487,Slaghoken
488,Slaghoken II
489,Great Britain/Germany
490,Nikh
491,Swift
492,Andorinha
493,Unified Team-1
494,Cupidon III
495,Athens-2
496,Bulgaria-2
497,Marga-2
498,Serendipity
499,L'Aile VI
500,Cercle de l'Aviron Roubaix-4
501,Caprice
502,"New College, Oxford-2"
503,Compigne Polo Club
504,Vision
505,Cambridge University Boat Club-2
506,Trickson VI
507,St. Rose-2
508,Calcinhas
509,Gteborgs Roddfrening-2
510,Minerva Amsterdam
511,Chamukina
512,Nausikaa 4
