NOC_id,NOC_name
373,"Widgeon"
374,"Unified Team-1"
375,"Russia-2"
376,"Mexico"
377,"Western Golf Association-1"
378,"Frieda"
379,"Bahamas"
380,"Norwegier Turnverein
381,"Nigeria"
382,"Tineke"
383,"Great Britain-3"
384,"Cook Islands"
385,"Fiji"
386,"United States Golf Association-3"
387,"Missouri Athletic Club-3"
388,"South Africa"
389,"Irene"
390,"Bohemia/Great Britain"
391,"La Salle Turnverein
392,"New York Athletic Club-1"
393,"New York Athletic Club #1-1"
394,"Thailand"
395,"Rush IV"
396,47
397,"Albania"
398,"Ardilla"
399,"Djinn"
400,"India"
401,"Glider"
402,"Palau"
403,"Union des Socits Franais de Sports Athletiques"
404,"Margaret"
405,"Belarus"
406,"Soviet Union-2"
407,"Oranje"
408,60
409,"Noreg"
410,"Potomac Archers"
411,51
412,"Toronto Argonauts"
413,"Bermuda"
414,"Lithuania"
