team_id,team_name
315,"Australia-2"
316,"Latvia-1"
317,"Guyoni"
318,"Greece-1"
319,"Greece-2"
320,"West Germany-2"
321,"La Salle Turnverein
322,"Gallant"
323,"Zimbabwe"
324,"Grenada"
325,"Hera-1"
326,59
327,"Swedish Star"
328,"Bulgaria-1"
329,"Nautikos Omilos-3"
330,160
331,"Wolseley-Siddeley-1"
332,"Hong Kong"
333,"Ciocca II"
334,"Mirtala"
335,"Saint Lucia"
336,"Carabinier-5"
337,"Pettit-Poucet-6"
338,"Carabinier-15"
339,65
340,"Myanmar"
341,"Hirondelle"
342,"Kerstin-1"
343,74
344,94
345,"Ukraine-2"
346,"Russia-3"
347,85
348,"Malawi"
349,"Belarus-1"
350,"United States-3"
351,"Bronia"
352,84
353,"Zambia"
354,"Denmark-1"
355,78
356,"Bluebottle"
357,77
358,"West Germany-1"
359,"Rhodesia"
360,"East Germany-2"
361,"Snap"
362,"Chinese Taipei-1"
363,"Sao Tome and Principe"
364,"Toronto Argonauts"
365,72
366,"England-1"
367,"Hungaria Evezos Egylet"
368,"Poland-1"
369,"Macedonia"
370,60
371,"Bohemia"
372,"Argonaut Rowing Club"
373,"Life boat naval ship ""Spetsai""-1"
374,"Australia-1"
375,"Tonga"
376,"Nigeria-1"
377,"Fortuna"
378,"Starlight III"
379,"Liechtenstein"
380,90
381,"Pan"
382,"Montenegro"
383,"Leander Club-2"
384,"Lemzos Thorichton ""Psara""-3"
385,"London City Police-1"
386,"Great Britain-3"
387,70
388,"Sabre"
389,"Firebird II"
390,"Berliner Ruderverein von 1876-2"
391,"Christian Brothers' College-1"
392,58
393,"Czechoslovakia-1"
394,"Czechoslovakia-2"
395,"Passaic Turnverein
396,"Primorka"
397,"Gambia"
398,"Racing Club de France"
399,"Grifo III"
400,"Grifo IV"
401,"Bingo"
402,"Damoiselle IV"
403,"Crabe II-12"
404,"Nina Claire-30"
405,"Crabe II-1"
406,"Crabe II-4"
407,"Nina Claire-2"
408,"Qu'Importe"
409,"Konstanz"
410,"Suzy-2"
411,"Mouchette-2"
412,"Dansk Idrts Forbund"
413,"Marmara"
414,"Moseley Wanderers"
415,"Chicago Athletic Association-2"
416,"Devon and Somerset Wanderers"
417,79
418,105
419,48
420,"Mistral Hojris"
421,75
422,"Cook Islands"
423,"Mauritius-2"
424,"Albania"
425,"Romania-1"
426,"Pampero"
427,"Israel-2"
428,"Symphony"
429,"Sjhxa"
430,"Faneca"
431,"Ciocca III"
432,"Marinai della nave da guerra ""Varese"""
433,"Lalage"
434,"Gallia II"
435,"Unified Team-2"
436,"Dinah V"
437,"Czech Republic-2"
438,"Nora"
439,"Monica"
440,"Kullan"
441,"Shoveller"
442,"Amateur Athletic Association"
443,"Circus"
444,"Aletta"
445,"Widgeon"
446,"Inca"
447,"Czech Republic-1"
448,"Relampago"
449,"Foxhunters Hurlingham"
450,"Thames Rowing Club"
451,"Davenport Turngemeinde
452,"Norwegier Turnverein
453,"Erna Signe"
454,49
455,"Sirene"
456,"Socit Nautique de Bayonne-2"
457,"Socit Nautique de Bayonne-1"
458,"Anitra"
459,"Snude"
460,"White Lady"
461,"Web II"
462,"Web III"
463,"Italy-3"
464,"Pistoja/Firenze"
465,"West Indies Federation"
466,"Posillipo III"
467,"Tritons Lillois-2"
468,"Turnverein Vorwrts
469,"Club Nautique de Franais-1"
470,"Monaco-1"
471,"Boreas-2"
472,"Peri"
473,"New York Turnverein
474,"Tichiboo"
475,"Siames-Cat"
476,"Swaziland"
477,"India-1"
478,"Italia"
479,"Ausonia"
480,"Burkina Faso"
481,"Nortazo"
482,56
483,"Tom Kyle"
484,"Tilly"
485,"Esterel-1"
486,"North Borneo"
487,"Wiking"
488,"Buraddoo"
489,"Heroine"
490,"Burundi"
491,"Chok"
492,"Atlanta"
493,"Germania II"
494,"Wannsee"
495,"Polyteknisk Roklub-1"
496,"Aruba"
497,"Buscape II"
498,88
499,"Nina"
500,"Norway-3"
501,"Kristiania Roklub-1"
502,"Kristiania Roklub"
503,"Ormsund Roklub-2"
504,71
505,"Chuckles"
506,"South Africa-2"
507,"Chinese Taipei"
508,"Winnipeg Shamrocks-1"
509,"Olle"
510,214
511,80
512,"United States-10"
513,76
514,"Camelia"
515,"Aschenbrodel"
516,"Whitini Star"
517,96
518,"Bera"
519,"Netherlands-2"
520,166
521,"Slaghoken"
522,"Slaghoken II"
523,"Great Britain/Germany"
524,"Federated States of Micronesia"
525,"Nikh"
526,"Swift"
527,"Puerto Rico-2"
528,117
529,"Andorinha"
530,"Unified Team-1"
531,"Cupidon III"
532,"Athens-2"
533,"Bulgaria-2"
534,"Marga-2"
535,"Serendipity"
536,"L'Aile VI"
537,"Cercle de l'Aviron Roubaix-4"
538,"Caprice"
539,"New College
540,"Compigne Polo Club"
541,69
542,"Vision"
543,"Cambridge University Boat Club-2"
544,"Trickson VI"
545,"St. Rose-2"
546,"Calcinhas"
547,"Gteborgs Roddfrening-2"
548,"Minerva Amsterdam"
549,"Chamukina"
550,"Nausikaa 4"
551,"New York Athletic Club-1"
552,"Arcturus"
553,"Belgium-1"
554,"St. Louis Southwest Turnverein #1-2"
555,"Nauru"
556,"Jo"
557,"Lucky Star"
558,"Namoussa"
559,"Briar"
560,"Panhellenios Gymnastikos Syllogos-1"
561,"Netherlands-1"
562,63
563,"Gabbiano"
564,"Gran Gesto"
565,81
566,51
567,"Ceres II"
568,"Covunco III"
569,"Chicago Archers"
570,"Royal Club Nautique de Gand"
571,"Roddklubben af 1912-1"
572,"Roddklubben af 1912-2"
573,"Bucintoro Venezia-1"
574,"Bucintoro Venezia"
575,83
576,"Edelweiss II-1"
577,"Bamba"
578,"Rush IV"
579,"Boston Archers"
580,"Ali-Baba IV"
581,"Ali-Baba VI"
582,"Ali-Baba IX"
583,95
584,"Upton Park FC"
585,"BLO Polo Club
586,"Hurlingham-2"
587,"Leander Club-1"
588,93
589,"Indonesia-2"
590,"Western Rowing Club-3"
591,"Pigoule"
592,"South Vietnam"
593,89
594,"Snowten III"
595,"Hungaria"
596,"Libellule de Paris"
597,"Scram"
598,"United States Virgin Islands-2"
599,"United States Virgin Islands-1"
600,"Amstel Amsterdam"
601,"Scotland-3"
602,52
603,"Peri II"
604,"Liverpool Police Team-2"
605,"Vinha"
606,"Fantasio III"
607,"Pousse-Moi Pas VII"
608,"Norwegian Rowing Association"
609,"LaBandera"
610,"Gilliatt V"
611,"United States Golf Association-3"
612,"Trans-Mississippi Golf Association-2"
613,"China-2"
614,"China-1"
615,"Sarcelle-35"
616,"Sarcelle-3"
617,"Tango"
618,"Argentina-1"
619,"Brynhild-2"
620,"Espuma del Mar"
621,"Twins II"
622,"Pupilles de Neptune de Lille #2-1"
623,"Beaver"
624,"Monaco-2"
625,"Baccara"
626,"Cobweb-1"
627,"Ral-Club Barcelona"
628,"Vietnam"
629,82
630,"Elvis Va"
631,"Romolo"
632,"Aldebaran II"
633,"Aldebaran"
634,"Argus"
635,"Galatea II"
636,"Twins VIII"
637,"Angelita"
638,"Antwerpia V"
639,"Lotta IV"
640,"Saga-2"
641,"Mari"
642,"Paula"
643,"Oranje"
644,"Willem-Six"
645,"DeRuyter"
646,"Acturus"
647,"Societ Nautique de la Marne"
648,"Mexico-2"
649,"Teresita"
650,"Barion/Bari-2"
651,"Eissero VI"
652,50
653,"New York Athletic Club-4"
654,"K Division Metropolitan Police Team-3"
655,73
656,"Israel-1"
657,100
658,"Hong Kong-1"
659,"Malaysia-1"
660,"Cambodia"
661,"Allegro"
662,"Gam II"
663,"Ylliam VIII"
664,"Quand-Mme-33"
665,"Quand-Mme-2"
666,"United States-9"
667,"Berliner Ruderclub Sport-Borussia-1"
668,"Smyrna"
669,"Chinese Taipei-2"
670,"Calimucho"
671,"Bhutan"
672,"North Korea-1"
673,"Malaysia-2"
674,"Kingfisher"
675,"Yangon"
676,"Gustel V"
677,"Sonja II"
678,"Jill"
679,"Kiel"
680,"KNS"
681,"Galt Football Club"
682,"Tim-Tam III"
683,"Uragan"
684,"Kon-Tiki"
685,"Babe"
686,"Poland-2"
687,"Antares"
688,"Venilia"
689,"Hatuey"
690,"Mauritius-1"
691,"Cincinnati Archers"
692,"Morena"
693,127
694,"Libellule de Paris-3"
695,"Societ Nautique de la Marne-3"
696,"Osborne Swimming Club
697,"Brussels Swimming and Water Polo Club"
698,"Ancora"
699,"Saskia"
700,"Wales-4"
701,"SagaII"
702,"Gem"
703,"June Climene"
704,"Cambria"
705,"Oleander XII"
706,"Phoenix"
707,"Ylliam VII"
708,"Ballerina IV"
709,"Chicago Athletic Association"
710,"Calypse II"
711,"Scotland"
712,"Scotland-2"
713,"Ciocca"
714,"Esperia"
715,"Tournade-40"
716,"Tornade-16"
717,"Galejan"
718,"Great Britain-4"
719,"Cuba-1"
720,"Marshall Islands"
721,"Santa Maria"
722,"Dormy-1"
723,"Umberta V"
724,"Rozenn-3"
725,"Jest"
726,"Magdalen College Boat Club-1"
727,"Western Golf Association-1"
728,"Scotia"
729,"Red Dragon"
730,"R.-V. Germania
731,"Hungary-1"
732,"Akatonbo"
733,"Terrible"
734,"Elisabeth V"
735,"Studenternes Roklub-2"
736,"Rififi"
737,163
738,99
739,"New York Athletic Club #1-1"
740,"Partenope"
741,"Bermudes"
742,"England"
743,"Cornwall"
744,"Kiribati"
745,180
746,101.5
747,"Diablo"
748,"Plume-patte-32"
749,"Plume-Patte-5"
750,"Pierre et Jean-3"
751,"Pierre et Jean-4"
752,"Espadarte"
753,"Fruits"
